DKProTCInstanceID	FrequencyOfBekommenGruppe	FrequencyOfPassiveSentences	FrequencyOfPassiveWithAdjective	FrequencyOfPassiveWithImpersonalPronoun	FrequencyOfPassiveWithSichLassen	FrequencyOfPassiveWithZu	FrequencyOfTypicalPassive	NrofChars	NrofSentences	NrofTokens	NrofTokensPerSentence	TokLenRatio	avgNumCharsSent	avgNumCharsToken	frequencyOfAllSuffixes	frequencyOfHEIT	frequencyOfIE	frequencyOfKEIT	frequencyOfMENT	frequencyOfMUS	frequencyOfNIS	frequencyOfPrepositionalPhrase	frequencyOfSCHAFT	frequencyOfTION	frequencyOfTUM	frequencyOfT�u164T	frequencyOfUNG	nrOfSpellingMistakes	standardDevCharsPerSentence	standardDevCharsPerToken	standardDevTokensPerSentence	outcome
119	0	0	0	0	0	0	0	49	1	6	6	1	49	7.333333	0	0	0	0	0	0	0	0	0	0	0	0	0	1	0	2.867442	0	0
120	0	1.25	0	0	0	0.75	0.5	754	4	131	32.75	1	187.75	4.96063	0.352941	0	0	0	0	0	0	0.080645	0	0	0	0	0.352941	0.129771	74.371954	3.55475	10.638961	2
121	0.166667	0.833333	0	0.416667	0	0.166667	0.083333	1315	12	234	19.5	1	108.666667	4.932735	0.294118	0.058824	0.029412	0	0	0	0	0.05	0	0.029412	0	0	0.176471	0.068376	34.950759	3.094905	7.599342	4
122	0	1	0	0.333333	0	0.5	0.166667	1213	6	204	34	1	201.333333	5.162437	0.2	0	0	0	0	0	0	0.094737	0	0.085714	0	0	0.114286	0.083333	98.430461	3.25935	16.196707	4
123	0	0.571429	0	0.214286	0	0.142857	0.214286	1944	14	330	23.571429	1	137.928571	5.196203	0.213115	0.032787	0	0.016393	0	0	0.016393	0.076923	0	0	0	0	0.147541	0.1	71.857462	3.142117	11.860585	3
124	0	0.846154	0.076923	0.461538	0	0.153846	0.153846	1259	13	220	16.923077	1	95.923077	5.120773	0.378378	0	0	0	0	0	0.027027	0.064815	0	0	0	0	0.351351	0.095455	30.96763	3.494634	5.62223	2
125	0	0.333333	0.111111	0	0	0.222222	0	1477	9	234	26	1	163.222222	5.579646	0.380952	0.02381	0	0.047619	0	0	0	0.096491	0	0	0	0	0.309524	0.076923	57.274733	4.123678	9.69536	3
126	0.055556	0.833333	0.111111	0.388889	0	0.166667	0.111111	1816	18	309	17.166667	1	99.944444	5.265517	0.162791	0.023256	0	0	0	0	0	0.06875	0	0.023256	0	0	0.116279	0.097087	36.190042	3.192964	6.202598	5
127	0.071429	0.714286	0.071429	0.071429	0	0.214286	0.285714	1397	14	243	17.357143	1	98.857143	5.135371	0.217391	0	0	0.021739	0	0	0	0.088889	0	0	0	0	0.195652	0.08642	52.858108	3.448184	8.311843	4
128	0	0.625	0.125	0	0	0.25	0.25	1092	8	170	21.25	1	135.625	5.776398	0.277778	0	0	0	0.027778	0	0	0.093023	0	0	0	0	0.25	0.094118	44.135976	3.807438	7.258616	4
129	0	0.727273	0.181818	0.090909	0.090909	0.090909	0.272727	1773	11	277	25.181818	1	160.272727	5.699248	0.189655	0.017241	0.017241	0	0.017241	0	0.017241	0.11194	0	0	0	0	0.12069	0.090253	46.370231	3.879743	8.653094	4
130	0	0.5	0	0	0	0.25	0.25	1131	8	185	23.125	1	140.5	5.40678	0.222222	0.055556	0	0	0	0	0	0.075269	0	0.083333	0	0	0.083333	0.07027	62.050383	3.413757	11.373626	3
131	0	0.571429	0	0.428571	0	0.142857	0	1013	7	167	23.857143	1	143.857143	5.3625	0.2	0	0	0	0	0	0	0.043011	0	0.033333	0	0	0.166667	0.08982	86.715345	3.461372	11.703828	1
132	0.055556	0.111111	0	0	0.055556	0	0	1376	18	232	12.888889	1	75.5	5.411215	0.25641	0	0	0	0	0	0.025641	0.045802	0.025641	0.051282	0	0	0.153846	0.094828	34.73111	3.391725	5.78205	2
133	0	0.142857	0	0.142857	0	0	0	344	7	59	8.428571	1	48.285714	5.471698	0.272727	0	0	0	0	0	0.181818	0	0	0	0	0	0.090909	0.067797	36.542399	3.626963	5.260558	1
134	0	1.428571	0.285714	0.428571	0	0.285714	0.428571	1838	7	317	45.285714	1	261.714286	5.098361	0.188679	0	0.018868	0.018868	0.018868	0	0	0.072464	0	0	0	0	0.132075	0.056782	43.496188	3.271862	8.048323	5
135	0	0.6	0	0.1	0	0.3	0.2	1398	10	236	23.6	1	138.9	5.238938	0.177778	0	0	0	0	0	0	0.066116	0	0	0	0	0.177778	0.097458	77.949278	3.281146	12.2	3
136	0	0.833333	0	0.083333	0	0	0.75	1783	12	299	24.916667	1	147.666667	5.269231	0.264151	0	0.018868	0	0.037736	0	0	0.110345	0	0.018868	0	0	0.188679	0.070234	49.122862	3.423627	8.190018	5
137	0	1.375	0.25	0.25	0	0.375	0.5	1543	8	260	32.5	1	192	5.178571	0.25	0.041667	0.020833	0	0	0	0	0.07563	0	0.041667	0	0	0.145833	0.080769	59.766211	3.380009	8.587782	3
138	0.052632	0.263158	0	0.052632	0	0.052632	0.105263	2285	19	377	19.842105	1	119.315789	5.385475	0.236842	0.052632	0.013158	0.013158	0.026316	0	0	0.072165	0.013158	0.026316	0	0	0.092105	0.084881	65.420947	3.349645	10.413873	4
139	0.0625	0.375	0	0.3125	0	0	0	1878	16	309	19.3125	1	116.4375	5.426621	0.343284	0.014925	0	0	0	0	0.044776	0.101266	0.014925	0.029851	0	0	0.238806	0.061489	26.251116	3.432266	4.792165	4
140	0	1.25	0	0.5	0	0.25	0.5	1287	4	208	52	1	321	5.348039	0.275	0.05	0	0.025	0.05	0	0	0.07767	0	0.05	0	0	0.1	0.096154	210.34852	3.188743	35.121219	1
141	0	0.875	0	0.125	0.125	0.375	0.25	872	8	141	17.625	1	108.125	5.578947	0.206897	0.034483	0	0	0	0	0	0.049383	0	0.068966	0	0	0.103448	0.106383	55.297915	3.884054	7.841197	3
142	0.076923	0.538462	0	0.307692	0	0	0.153846	1329	13	227	17.461538	1	101.307692	5.238318	0.222222	0.074074	0	0	0	0	0	0.058824	0	0	0	0	0.148148	0.132159	40.135127	3.346672	7.066883	2
143	0.125	1.5	0	0.625	0	0.125	0.625	1009	8	179	22.375	1	125.25	4.947368	0.310345	0	0	0	0.068966	0	0	0.053763	0	0.034483	0.034483	0	0.172414	0.117318	47.580852	3.011213	8.454843	3
144	0.125	0.875	0	0.375	0	0	0.375	977	8	153	19.125	1	121.25	5.717241	0.423077	0	0	0	0.076923	0	0	0.059524	0	0	0	0	0.346154	0.117647	34.035827	3.266768	5.348773	1
145	0.05	0.85	0	0.65	0.05	0.1	0	1821	20	307	15.35	1	90.1	5.348432	0.22	0	0.02	0	0	0	0.06	0.09375	0	0	0	0	0.14	0.087948	28.581288	3.13303	4.96261	4
146	0	0.272727	0	0.090909	0	0.181818	0	1083	11	166	15.090909	1	97.545455	5.948387	0.371429	0.085714	0	0.028571	0	0	0	0.063158	0	0.028571	0	0	0.228571	0.156627	50.67609	3.579139	7.609259	2
147	0	0.642857	0	0.071429	0.142857	0.285714	0.142857	1491	14	255	18.214286	1	105.571429	5.215768	0.191489	0.021277	0	0	0	0	0	0.070922	0	0.021277	0	0	0.148936	0.054902	38.675785	3.24311	6.635172	3
148	0.090909	1.272727	0.181818	0.090909	0	0.272727	0.636364	1780	11	282	25.636364	1	160.909091	5.630996	0.258621	0	0	0	0	0	0.017241	0.06383	0.017241	0.068966	0.017241	0	0.137931	0.092199	55.963388	3.995893	8.605207	4
149	0	0.6	0.1	0.4	0	0	0.1	1007	10	172	17.2	1	99.8	5.202454	0.2	0	0	0	0	0	0	0.082474	0	0.033333	0	0	0.166667	0.133721	44.783479	3.267538	7.152622	2
150	0	1.333333	0.222222	0.777778	0	0	0.333333	933	9	168	18.666667	1	102.777778	4.893082	0.26087	0.173913	0	0	0	0	0	0.117647	0	0.043478	0	0	0.043478	0.059524	36.780967	3.023163	7.702813	2
151	0	0.944444	0.055556	0.222222	0.055556	0.222222	0.388889	1686	18	291	16.166667	1	92.722222	5.191176	0.309524	0.02381	0.02381	0	0	0	0	0.083871	0	0.02381	0	0	0.238095	0.109966	61.247046	3.426786	9.872802	2
152	0	0.153846	0	0.076923	0	0	0.076923	1226	13	215	16.538462	1	93.384615	4.990099	0.035714	0	0	0	0	0	0	0.017699	0	0	0	0	0.035714	0.106977	46.096118	2.926475	8.880535	3
153	0	0.2	0	0.1	0	0	0.1	1483	10	267	26.7	1	147.5	4.898039	0.25	0	0	0	0	0	0	0.101695	0	0	0	0	0.25	0.097378	69.805802	3.403199	11.541664	4
154	0.333333	2.666667	0.333333	0.333333	0.333333	0.666667	0.666667	1616	3	284	94.666667	1	538	4.923913	0.153846	0.051282	0	0	0.025641	0	0	0.033058	0	0	0	0	0.076923	0.098592	226.578905	3.014099	36.554374	3
155	0	0.777778	0	0.222222	0	0.222222	0.333333	1227	9	238	26.444444	1	135.444444	4.39738	0.25641	0.102564	0	0	0	0	0	0.097345	0.025641	0	0	0	0.128205	0.109244	94.260998	2.622408	18.300644	1
156	0.166667	0.666667	0	0.166667	0	0.166667	0.166667	755	6	125	20.833333	1	125	5.352941	0.25	0	0.041667	0.041667	0.041667	0	0	0.071429	0	0	0	0	0.125	0.104	89.909213	3.419146	14.712995	2
157	0	0.5	0	0	0	0	0.5	615	4	107	26.75	1	153	5.16	0.4	0	0	0	0	0	0	0	0	0	0	0	0.4	0.130841	85.653371	3.135985	15.562374	0
158	0.090909	0.818182	0	0.181818	0	0.272727	0.272727	1395	11	239	21.727273	1	125.909091	5.214286	0.195122	0.02439	0	0.097561	0	0	0	0.063492	0	0	0	0	0.073171	0.117155	68.525317	2.886015	12.240699	2
159	0.076923	0.461538	0	0.153846	0	0.076923	0.153846	1624	13	270	20.769231	1	124	5.4	0.358491	0.056604	0.018868	0	0	0	0.018868	0.113475	0.018868	0	0	0	0.245283	0.088889	58.006631	3.748568	10.001183	4
160	0	0.333333	0	0.111111	0	0.111111	0.111111	967	9	158	17.555556	1	106.555556	5.503356	0.37931	0	0.034483	0	0	0	0	0.123457	0	0.068966	0	0	0.275862	0.063291	39.738342	3.952103	6.344046	2
161	0	0.416667	0	0.25	0	0.083333	0.083333	1297	12	236	19.666667	1	107.166667	4.838565	0.186047	0.023256	0	0	0	0	0	0.070175	0	0.023256	0	0	0.139535	0.080508	44.814122	3.000888	8.834906	3
162	0	0.909091	0.090909	0.454545	0	0.090909	0.272727	1399	11	234	21.272727	1	126.272727	5.324324	0.394737	0.052632	0	0	0	0	0	0.09322	0	0.026316	0	0	0.315789	0.08547	58.167612	3.664198	10.172073	3
163	0.333333	0.666667	0	0	0	0.333333	0	1100	3	160	53.333333	1	366	6.044304	0.263158	0	0.026316	0	0	0	0.026316	0.013699	0	0.026316	0	0	0.184211	0.11875	237.946773	4.115954	34.003268	2
164	0	0.727273	0	0.272727	0.090909	0.272727	0.090909	1956	11	313	28.454545	1	176.909091	5.58	0.327586	0.051724	0	0.034483	0	0	0	0.094595	0.051724	0.034483	0	0	0.155172	0.083067	81.126674	3.809234	13.082699	4
165	0	1	0	0.2	0	0.4	0.4	1660	10	272	27.2	1	165.1	5.429119	0.395833	0.020833	0.020833	0.020833	0.020833	0	0.020833	0.084615	0	0.0625	0	0	0.229167	0.069853	110.083105	4.188992	18.159295	5
166	0.071429	1.071429	0.071429	0.428571	0	0.285714	0.214286	1699	14	304	21.714286	1	120.428571	4.906897	0.321429	0	0.053571	0.017857	0	0	0	0.114865	0	0.089286	0	0	0.160714	0.052632	53.950658	3.068464	9.938587	5
167	0	0.615385	0	0	0	0.153846	0.461538	1677	13	270	20.769231	1	128.076923	5.564202	0.196078	0	0	0.058824	0	0	0	0.06	0	0	0	0	0.137255	0.066667	53.179611	3.842822	8.468529	5
168	0.125	0.8125	0	0.3125	0	0.125	0.25	1512	16	240	15	1	93.5625	5.823529	0.511628	0.069767	0	0.023256	0.023256	0	0	0.046512	0	0	0	0	0.395349	0.108333	53.807491	4.021502	7.150175	4
169	0	0.454545	0.090909	0.181818	0	0.090909	0.090909	1592	11	244	22.181818	1	143.818182	5.862661	0.36	0.02	0.02	0.04	0	0	0	0.07377	0	0.04	0	0	0.24	0.081967	60.034563	4.203823	8.166653	5
170	0.090909	0.545455	0	0.272727	0.090909	0	0.090909	1542	11	248	22.545455	1	139.272727	5.679654	0.195652	0	0.021739	0.043478	0.021739	0	0.021739	0.064516	0	0.021739	0	0	0.065217	0.084677	54.636137	3.630257	7.608173	4
171	0.125	0.625	0	0	0	0	0.5	1605	8	244	30.5	1	199.75	5.859574	0.375	0.020833	0	0	0	0	0.020833	0.141593	0	0	0	0	0.333333	0.098361	40.263973	3.953111	6.5	4
172	0	1	0.25	0.25	0	0.5	0	1295	4	209	52.25	1	323	5.359606	0.222222	0	0.083333	0	0	0	0	0.096774	0.027778	0	0	0	0.111111	0.057416	200.787201	3.295578	31.091599	0
173	0	0.416667	0	0	0	0.166667	0.25	1277	12	209	17.416667	1	105.5	5.48731	0.2	0	0	0	0	0	0	0.104348	0	0.025	0	0	0.175	0.090909	34.524146	3.576019	5.423073	3
174	0.2	0.6	0	0.2	0	0	0.2	962	5	168	33.6	1	191.6	5.006173	0.354839	0.032258	0	0	0	0	0	0.012195	0	0.032258	0	0	0.290323	0.113095	58.782991	3.285766	10.031949	2
175	0	0.2	0	0.066667	0	0.066667	0.066667	1303	15	222	14.8	1	85.933333	5.372549	0.4	0.133333	0	0.066667	0	0	0	0.05	0	0	0	0	0.2	0.081081	26.481356	3.393828	5.049092	2
176	0.090909	0.454545	0	0.181818	0	0.090909	0.090909	1358	11	222	20.181818	1	122.545455	5.424528	0.27907	0.023256	0	0.069767	0	0	0	0.083333	0	0	0	0	0.186047	0.054054	52.72116	3.901978	7.986559	3
177	0.0625	0.4375	0	0.125	0	0.0625	0.1875	1394	16	209	13.0625	1	86.1875	6.123711	0.243902	0.02439	0	0	0	0	0.04878	0.110169	0	0	0	0	0.170732	0.086124	46.46937	3.757488	6.348905	2
178	0	0.9	0.1	0.5	0	0.1	0.2	1159	10	186	18.6	1	115	5.559322	0.27027	0.027027	0	0.027027	0.027027	0	0.081081	0.084906	0	0	0	0	0.108108	0.091398	33.08474	3.122388	5.425864	4
179	0.045455	0.727273	0.045455	0.363636	0	0.181818	0.090909	1905	22	324	14.727273	1	85.636364	5.343333	0.491228	0	0	0.017544	0.035088	0	0.017544	0.0625	0.017544	0.017544	0	0	0.385965	0.117284	37.630434	4.261313	5.609909	3
180	0.166667	0.833333	0.166667	0.25	0	0.166667	0.083333	1437	12	234	19.5	1	118.833333	5.559091	0.369565	0.043478	0	0.043478	0	0	0.021739	0.056	0	0.043478	0	0	0.217391	0.089744	36.149766	3.609477	6.639528	3
181	0.181818	1.090909	0	0.545455	0	0.181818	0.181818	1636	11	258	23.454545	1	147.818182	5.556452	0.326087	0	0	0.065217	0	0	0	0.135338	0.021739	0.021739	0	0	0.217391	0.104651	91.931613	3.524802	13.04094	4
182	0	0	0	0	0	0	0	4	1	1	1	0.102564	4	4	#NUM!	#NUM!	#NUM!	#NUM!	#NUM!	#NUM!	#NUM!	0	#NUM!	#NUM!	#NUM!	#NUM!	#NUM!	1	0	0	0	1
183	0.083333	0.5	0	0.25	0	0.166667	0	736	12	122	10.166667	1	60.416667	5.576577	0.185185	0	0	0	0	0	0.037037	0.064103	0	0.037037	0	0	0.111111	0.057377	20.766392	3.289485	3.077698	1
184	0	1.142857	0	0.428571	0	0.285714	0.428571	1093	7	183	26.142857	1	155.285714	5.255682	0.333333	0	0	0	0	0	0	0.084211	0	0	0	0	0.333333	0.125683	74.445981	3.442296	12.322205	1
185	0.142857	1	0	0.142857	0.142857	0.285714	0.285714	1230	7	202	28.857143	1	174.857143	5.445026	0.192308	0	0	0	0	0	0	0.06383	0	0.038462	0	0	0.153846	0.123762	166.965718	3.617274	29.004574	1
186	1	4	0	1	0	1	1	549	1	88	88	1	549	5.367816	0.35	0	0	0	0	0	0	0.113636	0	0.05	0	0	0.3	0.125	0	3.585138	0	2
187	0	0.714286	0	0.428571	0	0.142857	0.142857	1411	7	226	32.285714	1	200.714286	5.497717	0.475	0	0	0	0	0	0	0.104762	0	0.05	0	0	0.425	0.066372	94.72926	4.001569	15.078028	3
188	0.083333	0.75	0.083333	0.25	0	0.166667	0.166667	1449	12	235	19.583333	1	119.833333	5.502242	0.431818	0.068182	0	0.022727	0	0	0.068182	0.041322	0	0	0	0	0.272727	0.102128	41.309469	3.690825	5.936586	3
189	0	1.25	0	0.5	0	0.5	0.25	680	4	117	29.25	1	169.25	5.079646	0.32	0	0.08	0	0	0	0	0.079365	0	0	0	0	0.24	0.102564	65.243295	3.304975	12.028612	2
190	0	0.75	0	0.25	0	0.25	0.25	516	4	87	21.75	1	128.25	5.475	0.222222	0	0	0	0	0	0.111111	0	0	0	0	0	0.111111	0.091954	128.956146	3.933748	20.425168	1
191	0	3	0	1	0	1	1	1353	1	189	189	1	1353	6.308511	0.369565	0	0.021739	0.021739	0.043478	0	0.065217	0.089888	0	0.021739	0	0	0.195652	0.063492	0	4.313577	0	3
192	0.181818	1.090909	0.090909	0.454545	0	0.090909	0.272727	1790	11	319	29	1	161.818182	4.883117	0.135593	0	0.016949	0.016949	0	0	0.016949	0.084416	0	0	0	0	0.084746	0.075235	90.042231	2.94307	16.248077	3
193	0	1	0	0	0	0.5	0.5	1515	6	258	43	1	251.666667	5.087302	0.306122	0.040816	0	0	0	0	0.020408	0.065041	0	0	0	0	0.244898	0.104651	103.981836	3.358287	19.373521	3
194	0	0.444444	0	0.111111	0	0.111111	0.222222	1611	9	253	28.111111	1	178.111111	5.668033	0.254545	0.018182	0	0	0	0	0.036364	0.067227	0.018182	0	0	0	0.181818	0.086957	128.27613	3.883609	20.572065	3
195	0	0.857143	0	0.142857	0	0.142857	0.571429	1273	7	193	27.571429	1	181	5.876344	0.390244	0.04878	0	0.04878	0	0	0.04878	0.08	0	0	0	0	0.243902	0.124352	217.024686	3.793143	31.061493	4
196	0	1.25	0	0.125	0	0.5	0.625	1541	8	245	30.625	1	191.75	5.672414	0.288462	0	0	0	0.019231	0	0	0.078261	0	0.019231	0	0	0.25	0.106122	64.768337	3.728446	10.294871	2
197	0	0.75	0	0.25	0	0.25	0.25	1433	8	243	30.375	1	178.25	5.123404	0.22449	0	0	0	0.020408	0	0	0.054688	0	0	0	0	0.204082	0.106996	78.903026	3.182011	14.2297	4
198	0.076923	0.461538	0	0.076923	0	0.153846	0.153846	1259	13	209	16.076923	1	95.923077	5.466667	0.272727	0.045455	0	0.022727	0	0	0	0.078261	0	0	0	0	0.204545	0.114833	51.272217	3.504234	6.521698	4
199	0	0.4375	0.0625	0.0625	0.0625	0.125	0.125	1427	16	243	15.1875	1	88.25	5.286344	0.217391	0.043478	0	0	0.021739	0	0	0.069767	0	0	0	0	0.152174	0.115226	37.383987	3.290882	6.146328	3
200	0	1.5	0.166667	0.666667	0	0.333333	0.333333	1262	6	206	34.333333	1	209.5	5.530928	0.071429	0	0	0	0	0	0	0.07	0	0	0	0	0.071429	0.126214	124.031918	4.083102	21.822516	2
201	0	1.125	0.0625	0.4375	0	0.3125	0.3125	1471	16	274	17.125	1	91	4.736434	0.142857	0.02381	0	0	0	0	0	0.071895	0	0	0	0	0.119048	0.105839	29.023697	2.870646	4.846068	3
202	0	1	0	0	0	0.5	0.5	782	2	131	65.5	1	390.5	5.248	0.192308	0	0	0	0	0	0	0.058824	0.076923	0	0	0	0.115385	0.099237	289.5	3.219083	47.5	3
203	0	1.5	0	0	0	0.833333	0.666667	1771	6	306	51	1	294.333333	5.060811	0.296296	0.037037	0	0	0.037037	0	0.018519	0.097222	0.018519	0	0	0	0.185185	0.117647	44.492197	3.14455	8.082904	3
204	0.111111	0.666667	0	0.055556	0	0.277778	0.222222	2193	18	363	20.166667	1	120.888889	5.360465	0.229508	0	0	0.032787	0.016393	0	0	0.062827	0	0	0	0	0.180328	0.101928	44.964046	3.302264	6.405293	2
205	0	2	0	0.5	0	0.5	1	847	2	138	69	1	423	5.523438	0.217391	0.086957	0	0	0	0	0	0.150943	0	0	0	0	0.130435	0.144928	289	3.528821	48	2
206	0	0.6	0	0.2	0	0.2	0.2	1138	5	187	37.4	1	226.8	5.288889	0.285714	0.028571	0	0	0	0	0	0.111111	0	0.057143	0	0	0.2	0.128342	112.188056	3.258304	18.051039	3
207	0	0.8	0.2	0	0	0.4	0.2	582	5	97	19.4	1	115.6	5.293478	0.1875	0	0	0	0	0	0	0.098039	0	0	0	0	0.1875	0.14433	30.256239	3.12611	6.711185	2
208	0	0.5	0	0.4	0	0.1	0	806	10	145	14.5	1	79.7	5	0.5	0	0	0.083333	0	0	0.125	0.064935	0	0	0	0	0.291667	0.124138	24.875892	3.272783	3.827532	2
209	0.090909	0.818182	0	0.454545	0	0.272727	0	1334	11	232	21.090909	1	120.363636	5.109589	0.317073	0	0	0.073171	0	0	0.02439	0.098361	0	0.073171	0	0	0.146341	0.090517	34.37037	3.325129	6.73464	2
210	0	0.375	0.125	0	0	0.25	0	1410	8	227	28.375	1	175.375	5.459091	0.205128	0.025641	0	0.025641	0	0	0.051282	0.067797	0	0	0	0	0.102564	0.15859	97.271447	3.396945	15.247438	2
211	0.071429	0.785714	0	0.357143	0	0.142857	0.214286	1371	14	239	17.071429	1	97	5.124444	0.285714	0.071429	0	0.02381	0	0	0.047619	0.02459	0	0	0	0	0.142857	0.066946	33.884257	3.308249	5.573717	4
212	0	0.5	0	0.25	0	0	0.25	810	8	159	19.875	1	100.375	4.503356	0.090909	0	0	0	0	0	0.045455	0.098592	0	0	0.045455	0	0	0.119497	43.962875	2.920936	9.841716	2
213	0	0.636364	0	0.272727	0	0.272727	0.090909	1165	11	196	17.818182	1	105	5.259459	0.142857	0	0	0	0	0	0	0.068627	0	0	0	0	0.142857	0.086735	36.618426	2.964243	5.3397	1
214	0	0.75	0	0.5	0	0.25	0	594	4	109	27.25	1	147.75	4.872549	0.416667	0	0	0	0	0	0	0.057692	0	0	0	0	0.416667	0.137615	64.040515	3.252967	11.966098	1
215	0	0.714286	0	0.428571	0	0	0.285714	1099	7	188	26.857143	1	156.142857	5.022099	0.057143	0	0.057143	0	0	0	0	0.086022	0	0	0	0	0	0.06383	40.621699	2.939455	6.74915	2
216	0	0.428571	0	0	0	0.285714	0.142857	910	7	161	23	1	129.142857	4.967532	0.051282	0	0	0.025641	0	0	0	0.034483	0	0	0	0	0.025641	0.099379	39.014388	2.536535	6.969321	1
217	0	1	0.2	0.4	0	0.1	0.3	1275	10	223	22.3	1	126.6	5	0.083333	0	0.027778	0	0	0	0	0.04918	0	0.027778	0	0	0.027778	0.044843	55.218113	2.897303	10.050373	3
218	0	0.4	0	0	0	0	0.4	464	5	73	14.6	1	92	5.823529	0	0	0	0	0	0	0	0.073171	0	0	0	0	0	0.013699	33.958799	3.468095	5.388877	3
219	0	0.333333	0.333333	0	0	0	0	186	3	30	10	1	61.333333	5.678571	0.166667	0	0	0	0	0	0	0.058824	0	0.166667	0	0	0	0.1	11.264497	3.284744	0.816497	0
220	0	0.625	0	0	0	0	0.625	798	8	128	16	1	98.875	5.625	0.037037	0	0	0	0	0	0	0.130435	0	0	0	0	0.037037	0.09375	51.639223	3.049761	7.681146	4
221	0	0.666667	0	0.166667	0	0.166667	0.333333	696	6	129	21.5	1	115.166667	4.747967	0.166667	0	0	0	0	0	0	0.089552	0	0	0	0	0.166667	0.062016	59.114061	3.191945	9.673848	1
222	0	0.5	0	0	0	0.25	0.25	849	8	155	19.375	1	105.25	4.809524	0.222222	0.037037	0.111111	0	0	0	0.037037	0.074074	0.037037	0	0	0	0	0.077419	43.112498	2.706338	7.598314	2
223	0.076923	0.538462	0.076923	0.153846	0	0	0.230769	1352	13	222	17.076923	1	103.076923	5.475962	0.155556	0	0.066667	0	0	0	0	0.105263	0.022222	0	0	0	0.066667	0.067568	35.573243	3.125484	6.366517	4
224	0	0	0	0	0	0	0	366	5	67	13.4	1	72.4	5.098361	0.117647	0	0	0.058824	0	0	0	0.060606	0	0	0	0	0.058824	0.059701	33.338266	3.092587	8.404761	1
225	0	0.2	0.1	0.1	0	0	0	802	10	138	13.8	1	79.3	5.273438	0.090909	0.030303	0	0.030303	0	0	0.030303	0.065789	0	0	0	0	0	0.072464	30.835207	3.47247	4.354308	2
226	0	0.4	0	0.2	0	0	0.2	715	5	119	23.8	1	142.2	5.333333	0.038462	0	0	0	0	0	0	0.017544	0	0	0	0	0.038462	0.067227	47.595798	3.033921	8.634813	3
227	0	1	0	0.333333	0	0.333333	0.333333	793	3	144	48	1	263.666667	4.821429	0.066667	0	0	0	0	0	0	0.096774	0	0.033333	0	0	0.033333	0.097222	81.871173	2.986321	13.735599	2
228	0	2	0	0	0.333333	0.666667	1	1103	3	177	59	1	367	5.371429	0.111111	0	0.083333	0	0	0	0	0.011494	0	0	0	0	0.027778	0.073446	129.994872	3.067672	19.612921	3
229	0	1.2	0	0.4	0	0.2	0.6	867	5	156	31.2	1	172.6	4.827815	0.111111	0	0	0.037037	0	0	0	0.09589	0	0	0	0	0.074074	0.064103	56.187543	2.99837	9.682975	2
230	0	0.375	0	0.25	0	0	0.125	930	8	172	21.5	1	115.375	4.875776	0.057143	0	0.057143	0	0	0	0	0.139241	0	0	0	0	0	0.040698	52.751629	3.359898	10.356158	4
231	0	2	0	0	0	1	1	790	2	133	66.5	1	394.5	5.083969	0.193548	0.032258	0	0.032258	0	0	0	0.166667	0	0.032258	0	0	0.096774	0.082707	12.5	3.315562	2.5	3
232	0	0	0	0	0	0	0	862	9	145	16.111111	1	94.888889	5.364964	0.225806	0	0	0.032258	0	0	0	0.12	0.064516	0	0	0	0.129032	0.075862	22.595203	3.376337	4.148479	1
233	0	0.75	0	0.125	0	0.375	0.25	757	8	137	17.125	1	93.75	4.891473	0.153846	0	0	0	0	0	0	0.16	0	0	0	0	0.153846	0.080292	40.514658	2.606611	6.697714	3
234	0	0.857143	0.142857	0	0	0.428571	0.285714	840	7	137	19.571429	1	119.142857	5.461538	0.3	0.066667	0.033333	0	0	0	0.066667	0.164179	0.033333	0.033333	0	0	0.066667	0.051095	43.939662	3.098769	7.188426	3
235	0	0.142857	0	0	0	0	0.142857	717	7	122	17.428571	1	101.571429	5.238938	0.090909	0	0	0	0	0	0	0.050847	0	0	0	0	0.090909	0.065574	59.353318	3.308007	9.781282	2
236	0	2	0	1	0	0.5	0.5	826	2	141	70.5	1	412.5	5.109489	0.04	0	0	0	0	0	0	0.079365	0.04	0	0	0	0	0.049645	295.5	2.953851	48.5	2
237	0	0.5	0	0	0	0	0.5	639	4	108	27	1	159	5.174757	0.130435	0	0	0	0	0	0	0.103448	0.043478	0	0	0	0.086957	0.12963	19.352002	3.181949	3.535534	2
238	0	0.375	0.125	0	0	0.125	0.125	922	8	157	19.625	1	114.375	5.208054	0.102564	0.025641	0	0	0	0	0	0.117647	0	0	0	0	0.076923	0.082803	36.810112	2.983793	6.4214	2
239	0	0.333333	0	0	0	0	0.333333	1015	9	168	18.666667	1	111.888889	5.417722	0.068182	0	0	0	0	0	0	0.151163	0	0	0	0	0.068182	0.059524	40.46245	3.255405	6.992059	2
240	0	0.2	0	0	0	0	0.2	985	10	170	17	1	97.6	5.21875	0.052632	0	0.052632	0	0	0	0	0.097826	0	0	0	0	0	0.094118	33.577373	4.018196	4.795832	2
241	0	3	0	1	0	1	1	726	1	109	109	1	726	5.88785	0.115385	0	0	0.038462	0	0	0	0.108696	0	0	0	0	0.076923	0.100917	0	3.198502	0	2
242	0	0	0	0	0	0	0	4	1	1	1	0.102564	4	4	#NUM!	#NUM!	#NUM!	#NUM!	#NUM!	#NUM!	#NUM!	0	#NUM!	#NUM!	#NUM!	#NUM!	#NUM!	1	0	0	0	0
